name,price,article,url
Лампа светодиодная ECO G45 шар 3Вт 230В 3000К E27,"68,80 руб",LLE-G45-3-230-30-E27,/catalog/istochniki-sveta/lle-g45-3-230-30-e27-iek-g45-shar-3vt-230v-3000k-e27-/
Лампа светодиодная ECO G45 шар 5Вт 230В 4000К E14,"70,07 руб",LLE-G45-5-230-40-E14,/catalog/istochniki-sveta/lle-g45-5-230-40-e14-iek-g45-shar-5vt-230v-4000k-e14-/
Лампа светодиодная ECO G45 шар 3Вт 230В 3000К E14,"68,80 руб",LLE-G45-3-230-30-E14,/catalog/istochniki-sveta/lle-g45-3-230-30-e14-iek-g45-shar-3vt-230v-3000k-e14-/
Лампа светодиодная ECO G45 шар 7Вт 230В 4000К E27,"71,23 руб",LLE-G45-7-230-40-E27,/catalog/istochniki-sveta/lle-g45-7-230-40-e27-iek-g45-shar-7vt-230v-4000k-e27-/
Лампа светодиодная ECO CB35 свеча на ветру 5Вт 230В 3000К E14,"76,15 руб",LLE-CB35-5-230-30-E14,/catalog/istochniki-sveta/lle-cb35-5-230-30-e14-iek-cb35-na-vetru-5vt-230v-3000k-e14-/
Лампа светодиодная ECO G45 шар 5Вт 230В 4000К E27,"70,07 руб",LLE-G45-5-230-40-E27,/catalog/istochniki-sveta/lle-g45-5-230-40-e27-iek-g45-shar-5vt-230v-4000k-e27-/
Лампа светодиодная ECO MR16 софит 5Вт 230В 4000К GU5.3,"74,68 руб",LLE-MR16-5-230-40-GU5,/catalog/istochniki-sveta/lle-mr16-5-230-40-gu5-iek-mr16-sofit-5vt-230v-4000k-gu5-3-/
Лампа светодиодная ECO C35 свеча 5Вт 230В 4000К E27,"66,14 руб",LLE-C35-5-230-40-E27,/catalog/istochniki-sveta/lle-c35-5-230-40-e27-iek-c35-5vt-230v-4000k-e27-/
Лампа светодиодная ECO G45 шар 5Вт 230В 3000К E27,"70,07 руб",LLE-G45-5-230-30-E27,/catalog/istochniki-sveta/lle-g45-5-230-30-e27-iek-g45-shar-5vt-230v-3000k-e27-/
Лампа светодиодная ECO G45 шар 7Вт 230В 3000К E27,"71,23 руб",LLE-G45-7-230-30-E27,/catalog/istochniki-sveta/lle-g45-7-230-30-e27-iek-g45-shar-7vt-230v-3000k-e27-/
Лампа светодиодная ECO C35 свеча 5Вт 230В 4000К E14,"66,14 руб",LLE-C35-5-230-40-E14,/catalog/istochniki-sveta/lle-c35-5-230-40-e14-iek-c35-5vt-230v-4000k-e14-/
Лампа светодиодная ECO C35 свеча 5Вт 230В 3000К E27,"66,14 руб",LLE-C35-5-230-30-E27,/catalog/istochniki-sveta/lle-c35-5-230-30-e27-iek-c35-5vt-230v-3000k-e27-/
Лампа светодиодная ECO C35 свеча 5Вт 230В 3000К E14,"66,14 руб",LLE-C35-5-230-30-E14,/catalog/istochniki-sveta/lle-c35-5-230-30-e14-iek-c35-5vt-230v-3000k-e14-/
Лампа светодиодная ECO R63 рефлектор 8Вт 230В 4000К E27,"120,88 руб",LLE-R63-8-230-40-E27,/catalog/istochniki-sveta/lle-r63-8-230-40-e27-iek-r63-reflektor-8vt-230v-4000k-e27-/
Лампа светодиодная ECO A60 шар 9Вт 230В 4000К E27,"78,52 руб",LLE-A60-9-230-40-E27,/catalog/istochniki-sveta/lle-a60-9-230-40-e27-iek-a60-shar-9vt-230v-4000k-e27-/
Лампа светодиодная ECO MR16 софит 7Вт 230В 3000К GU5.3,"81,66 руб",LLE-MR16-7-230-30-GU5,/catalog/istochniki-sveta/lle-mr16-7-230-30-gu5-iek-mr16-sofit-7vt-230v-3000k-gu5-3-/
Лампа светодиодная ECO MR16 софит 7Вт 230В 4000К GU5.3,"81,66 руб",LLE-MR16-7-230-40-GU5,/catalog/istochniki-sveta/lle-mr16-7-230-40-gu5-iek-mr16-sofit-7vt-230v-4000k-gu5-3-/
Лампа светодиодная ECO R50 рефлектор 5Вт 230В 4000К E14,"94,97 руб",LLE-R50-5-230-40-E14,/catalog/istochniki-sveta/lle-r50-5-230-40-e14-iek-r50-reflektor-5vt-230v-4000k-e14-/
Лампа светодиодная ECO A60 шар 11Вт 230В 4000К E27,"79,95 руб",LLE-A60-11-230-40-E27,/catalog/istochniki-sveta/lle-a60-11-230-40-e27-iek-a60-shar-11vt-230v-4000k-e27-/
Лампа светодиодная ECO G45 шар 3Вт 230В 4000К E27,"68,80 руб",LLE-G45-3-230-40-E27,/catalog/istochniki-sveta/lle-g45-3-230-40-e27-iek-g45-shar-3vt-230v-4000k-e27-/
Лампа светодиодная ECO PAR16 софит 5Вт 230В 3000К GU10,"74,68 руб",LLE-PAR16-5-230-30-GU10,/catalog/istochniki-sveta/lle-par16-5-230-30-gu10-iek-par16-sofit-5vt-230v-3000k-gu10-/
Лампа светодиодная ECO G45 шар 7Вт 230В 4000К E14,"71,23 руб",LLE-G45-7-230-40-E14,/catalog/istochniki-sveta/lle-g45-7-230-40-e14-iek-g45-shar-7vt-230v-4000k-e14-/
Лампа светодиодная ECO R39 рефлектор 3Вт 230В 3000К E14,"90,63 руб",LLE-R39-3-230-30-E14,/catalog/istochniki-sveta/lle-r39-3-230-30-e14-iek-r39-reflektor-3vt-230v-3000k-e14-/
Лампа светодиодная ECO G45 шар 3Вт 230В 4000К E14,"68,80 руб",LLE-G45-3-230-40-E14,/catalog/istochniki-sveta/lle-g45-3-230-40-e14-iek-g45-shar-3vt-230v-4000k-e14-/
Лампа светодиодная ECO G45 шар 5Вт 230В 3000К E14,"70,07 руб",LLE-G45-5-230-30-E14,/catalog/istochniki-sveta/lle-g45-5-230-30-e14-iek-g45-shar-5vt-230v-3000k-e14-/
Лампа светодиодная ECO CB35 свеча на ветру 5Вт 230В 4000К E14,"76,15 руб",LLE-CB35-5-230-40-E14,/catalog/istochniki-sveta/lle-cb35-5-230-40-e14-iek-cb35-na-vetru-5vt-230v-4000k-e14-/
Лампа светодиодная ECO R50 рефлектор 5Вт 230В 3000К E14,"94,97 руб",LLE-R50-5-230-30-E14,/catalog/istochniki-sveta/lle-r50-5-230-30-e14-iek-r50-reflektor-5vt-230v-3000k-e14-/
Лампа светодиодная ECO A60 шар 7Вт 230В 4000К E27,"76,08 руб",LLE-A60-7-230-40-E27,/catalog/istochniki-sveta/lle-a60-7-230-40-e27-iek-a60-shar-7vt-230v-4000k-e27-/
Лампа светодиодная ECO R63 рефлектор 8Вт 230В 3000К E27,"120,88 руб",LLE-R63-8-230-30-E27,/catalog/istochniki-sveta/lle-r63-8-230-30-e27-iek-r63-reflektor-8vt-230v-3000k-e27-/
Лампа светодиодная ECO PAR16 софит 5Вт 230В 4000К GU10,"74,68 руб",LLE-PAR16-5-230-40-GU10,/catalog/istochniki-sveta/lle-par16-5-230-40-gu10-iek-par16-sofit-5vt-230v-4000k-gu10-/
Лампа светодиодная ECO MR16 софит 5Вт 230В 3000К GU5.3,"74,68 руб",LLE-MR16-5-230-30-GU5,/catalog/istochniki-sveta/lle-mr16-5-230-30-gu5-iek-mr16-sofit-5vt-230v-3000k-gu5-3-/
Лампа светодиодная ECO R39 рефлектор 3Вт 230В 4000К E14,"90,63 руб",LLE-R39-3-230-40-E14,/catalog/istochniki-sveta/lle-r39-3-230-40-e14-iek-r39-reflektor-3vt-230v-4000k-e14-/
Лампа светодиодная ECO G45 шар 7Вт 230В 3000К E14,"71,23 руб",LLE-G45-7-230-30-E14,/catalog/istochniki-sveta/lle-g45-7-230-30-e14-iek-g45-shar-7vt-230v-3000k-e14-/
Лампа энергосберегающая спираль КЭЛ-FS Е27 11Вт 4000К Т2,"165,42 руб",LLE25-27-011-4000-T2,/catalog/istochniki-sveta/lle25-27-011-4000-t2-iek-kel-fs-e27-11vt-4000k-t2-/
Лампа светодиодная ECO A60 шар 7Вт 230В 3000К E27,"76,08 руб",LLE-A60-7-230-30-E27,/catalog/istochniki-sveta/lle-a60-7-230-30-e27-iek-a60-shar-7vt-230v-3000k-e27-/
Лампа спираль КЭЛ-FS Е27 30Вт 4000К,Цена - по запросу,LLE25-27-030-4000-T4,/catalog/istochniki-sveta/lle25-27-030-4000-t4-iek-kel-fs-e27-30vt-4000k-/
